Neighborhood_ID,Population,Median_Age,Average_Income,Number_of_Hospitals,Obesity_Rate,Access_to_Gym,Smoking_Rate,Life_Expectancy,Health_Score,High_Obesity_Rate
1,7250,45,30,1,38.5,3.5,26.0,62.0,44.0,1
2,8100,46,32,1,37.0,3.8,25.0,63.5,46.0,1
3,6950,44,34,1,35.5,4.1,24.0,65.0,48.0,1
4,7600,47,36,1,34.0,4.4,23.0,66.5,50.0,1
5,8200,43,38,1,32.5,4.7,22.0,68.0,52.0,1
6,8400,45,40,1,31.0,5.0,21.0,69.5,54.0,1
7,9000,46,42,1,29.5,5.3,20.0,71.0,56.0,1
8,9500,44,44,1,28.0,5.6,19.0,72.5,58.0,1
9,9800,47,46,1,26.5,5.9,18.0,74.0,60.0,1
10,10000,43,48,1,25.0,6.2,17.0,75.5,62.0,1
11,10500,45,50,1,23.5,6.5,16.0,77.0,64.0,0
12,11000,46,52,1,22.0,6.8,15.0,78.5,66.0,0
13,11500,44,54,1,20.5,7.1,14.0,80.0,68.0,0
14,12000,47,56,1,19.0,7.4,13.0,81.5,70.0,0
15,12500,43,58,1,17.5,7.7,12.0,83.0,72.0,0
16,13000,45,60,2,16.0,8.0,11.0,84.5,74.0,0
17,13500,46,62,2,14.5,8.3,10.0,86.0,76.0,0
18,14000,44,64,2,13.0,8.6,9.0,87.5,78.0,0
19,14500,47,66,2,11.5,8.9,8.0,89.0,80.0,0
20,15000,43,68,2,10.0,9.2,7.0,90.5,82.0,0
21,15500,45,70,2,10.0,9.5,7.0,92.0,84.0,0
22,16000,46,72,2,10.0,9.8,7.0,93.5,86.0,0
23,16500,44,74,2,10.0,10.0,7.0,95.0,88.0,0
24,17000,47,76,2,10.0,10.0,7.0,96.5,90.0,0
25,17500,43,78,2,10.0,10.0,7.0,98.0,92.0,0
26,18000,45,80,3,10.0,10.0,7.0,99.5,94.0,0
27,18500,46,82,3,10.0,10.0,7.0,101.0,96.0,0
28,19000,44,84,3,10.0,10.0,7.0,102.5,98.0,0
29,19500,47,86,3,10.0,10.0,7.0,104.0,100.0,0
30,20000,43,88,3,10.0,10.0,7.0,105.5,100.0,0
31,7300,46,31,1,38.0,3.6,25.5,62.5,45.0,1
32,7500,44,33,1,36.5,3.9,24.5,64.0,47.0,1
33,7700,47,35,1,35.0,4.2,23.5,65.5,49.0,1
34,7900,43,37,1,33.5,4.5,22.5,67.0,51.0,1
35,8100,45,39,1,32.0,4.8,21.5,68.5,53.0,1
36,8300,46,41,1,30.5,5.1,20.5,70.0,55.0,1
37,8500,44,43,1,29.0,5.4,19.5,71.5,57.0,1
38,8700,47,45,1,27.5,5.7,18.5,73.0,59.0,1
39,8900,43,47,1,26.0,6.0,17.5,74.5,61.0,1
40,9100,45,49,1,24.5,6.3,16.5,76.0,63.0,1
41,9300,46,51,1,23.0,6.6,15.5,77.5,65.0,0
42,9500,44,53,1,21.5,6.9,14.5,79.0,67.0,0
43,9700,47,55,1,20.0,7.2,13.5,80.5,69.0,0
44,9900,43,57,1,18.5,7.5,12.5,82.0,71.0,0
45,10100,45,59,2,17.0,7.8,11.5,83.5,73.0,0
46,10300,46,61,2,15.5,8.1,10.5,85.0,75.0,0
47,10500,44,63,2,14.0,8.4,9.5,86.5,77.0,0
48,10700,47,65,2,12.5,8.7,8.5,88.0,79.0,0
49,10900,43,67,2,11.0,9.0,7.5,89.5,81.0,0
50,11100,45,69,2,10.0,9.3,7.0,91.0,83.0,0
